schoolStudyId,name,comment,type,proficiency,addProficiency,description,attributeChange,proficiencyDependOn,stopGrowAt
id,language,comment,friend_id,friend_id,int,language,friend_id_map,friend_id_map,int
string,chinese,-,ScheduleType,Proficiency,-,chinese,Attribute;int,Proficiency;int,-
writable,N,N,N,N,N,N,N,N,N
math_1,加减法,,schoolStudy,math_1,10,加减法,"pressure,2;intelligence,1",;,100
english_1,英语字母,,schoolStudy,english_1,10,英语字母,"pressure,2;rememberence,1",;,0
chinese_1,拼音,,schoolStudy,chinese_1,10,拼音说明,"pressure,2;rememberence,1",;,0
chinese_2,汉字,小学水平,schoolStudy,chinese_2,10,汉字书写,"pressure,2;rememberence,1","chinese_1,50",0
chinese_3,词语,小学水平,schoolStudy,chinese_3,10,词语,"pressure,2;rememberence,1","chinese_2,100",0
chinese_4,造句,小学水平,schoolStudy,chinese_4,10,造个句子,"pressure,2;rememberence,1","chinese_3,100",0
chinese_5,古诗,小学水平,schoolStudy,chinese_5,10,古诗朗诵。,"pressure,2;emotions,1","chinese_2,200",0
chinese_6,阅读,小学水平,schoolStudy,chinese_7,10,荷塘月色,"pressure,2;emotions,1","chinese_4,200",0
chinese_7,作文,小学水平,schoolStudy,chinese_8,10,写个作文,"pressure,2;emotions,1;imagination,1","chinese_4,200;chinese_7,200",0
