itemId,itemName,iconId,itemCategoryId,value,job,price,itemDescription
id,language,icon,friend_id,int,int,int,language
-,chinese,res/base/icon/item/,ItemCategory,-,-,-,chinese
0,南瓜种子,item0.png,0,0,0,2000,新大陆栽种的植物，果实、种子可以食用，是当地人的主食。
1,番茄苗,item1.png,0,0,0,2200,新大陆栽种的蔬菜，成熟的果实呈鲜红色。
2,香蕉树,item2.png,0,0,0,2400,是东南亚的树。果实一熟就变成黄色，可以食用，味美香甜。
3,蜜蜂窝,item3.png,0,0,0,1200,蜜蜂精心构筑的巢，里面充满从花中采集来的花蜜，营养丰富。
4,鲨鱼幼鱼,item4.png,0,0,0,9000,凶猛的鱼，有时也袭击人类。它的鳍和卵十分美味，得到人们喜欢。
5,胡椒粒,item5.png,0,0,0,8500,从高达 5 ~ 9 公尺的热带植物所取得的果实，在印度大量出产，也被称作香料之王。
6,丁香粒,item6.png,0,0,0,8600,深褐色的果实，形如订状。它的特征是有特别的香味，并且让舌头感到辣辣的刺激感。他原产于东南亚。
7,肉桂树,item7.png,0,0,0,7800,生长在印度到东南亚一带的树。干燥的树皮会发出带有独特香味，被当做香料使用。
8,甜椒果,item8.png,0,0,0,6500,是辣椒的一种，果实成圆形或长圆形，原产于新大陆，咬一口会种强烈的刺激感。
9,咖啡树,item9.png,0,0,0,6700,原产于东非的树木，花纯白，发出茉莉花的香味。将干燥了的果实煮后可当作饮料。
10,茶树,item10.png,0,0,0,7500,是原产于中国南方的树木。将长长的椭圆形的叶子发酵后课当作饮料来食用。根据发酵的程度和使用的部位的不同，风味也各异。
11,可可果,item11.png,0,0,0,6800,是原产于新大陆的高大树木。从直接长在树干部的果实中取出种子，经过发酵干燥后就可以食用。
12,烟草苗,item12.png,0,0,0,7200,将干燥的叶子切碎，用纸等东西把它卷成烟卷，点燃后抽上一口，会使人心情舒畅。它原产于新大陆。
13,炼金术书,item13.png,0,0,0,12500,记述炼金术，也就是研究一切物质构造的学问的奥妙书，也记述了将某种物质转换为其他物质的记述。
14,玻璃的制作辞典,item14.png,0,0,0,8000,详细说明玻璃制作工艺的书。
15,蚕,item15.png,0,0,0,7700,蛾的幼虫，成熟后身体透明，吐丝做茧，这时吐的生丝是绢丝，可作为衣料的原料使用。
16,织布机,item16.png,0,0,0,11000,将纤维纵横交叉进行支部的机械，用手和脚操作。
17,珍珠贝,item17.png,0,0,0,9000,生活在日本近海的珍珠贝，壳略程方形，表面带有黑褐色，是珍珠的母贝。
18,中医宝典,item18.png,0,0,0,12000,流传东洋的医术，记录用草和树皮制药的方法，作者不详。
19,山竹果种子,item19.png,0,0,0,3000,原产于东南亚，果实为球形，呈暗紫色，果肉汁多美味，也被称作果中。
20,金黄色猫,item20.png,1,0,0,15000,全身金毛的猫，非常爱吃老鼠。
21,莱姆汁,item21.png,1,0,0,10000,不管记多少次都还会出水的神奇莱姆，航海中可以为海员治疗坏血病。
22,赫密士的祈祷,item22.png,1,0,0,18000,神秘的戒指，有奥林帕斯12神之中的交通神赫密士的灵魂附着，即使发生暴风雨，也会保护海员安全。
23,华佗的中药,item23.png,1,0,0,12000,对任何传染病都有效的药，用中国三国时代的名医华佗发明的制法所制作，服用微量即可有效。
24,漆黑的双刃长剑,item24.png,2,24,0,18000,刃和柄的部分涂黑，会发光的窄身剑。
25,拉奥孔剑,item25.png,2,34,0,18400,传说中的希腊时代的特洛伊神官拉奥孔使用过的宽刃剑。
26,罗恩格林的佩剑,item26.png,2,44,0,66000,传说中的骑士罗恩格林使用过的佩剑，比一般的剑刃长，锋利。
27,残月弯刀,item27.png,2,39,0,44000,刀身呈S行弯曲，刃的部分泛金光，看上去像月牙。
28,勇者的三日月刀,item28.png,2,29,0,28000,装饰豪华的曲剑，是勇士的证物。
29,黄金军刀,item29.png,2,15,0,30000,十分沉重的军刀，全部由黄金打造。
30,勇气宝剑,item30.png,2,27,0,24000,不可思议的剑，一握在手中全身就充满勇气，外表看来普通，实战中却极其顺手。
31,印度琉璃剑,item31.png,2,32,0,16000,印度制的佩剑，嵌有无数琉璃珠，据说打造于古代。
32,荡寇双刃剑,item32.png,2,47,0,56000,一眼看去只是一把旧剑，不过曾被以前消灭近海海盗的提督长期使用。
33,忠诚偃月刀,item33.png,2,30,0,29200,宽幅的偃月刀，某舰队的副官曾用其斩杀过教唆提督叛变的船员。
34,堕落天使短剑,item34.png,2,36,0,42000,短剑，柄呈H型，颜色和装饰与众不同，处于不明。
35,银光双手剑,item35.png,2,33,0,35200,刃发白光的双手剑，发光的原因不明。
36,浴血月牙刀,item36.png,2,43,0,64000,刃的部分呈红色，状如月，让人联想此刃饮血无数。
37,犹太的魔剑,item37.png,2,50,0,100000,通称“背叛之剑”，有种被恶魂缠住的阴森感觉。
38,赵子龙的枪,item38.png,2,52,0,132000,三国时代蜀汉将赵云使用过的枪，枪是他最擅长的武器。
39,赎罪镇魂剑,item39.png,2,40,0,22400,剑中极品。由于只会不利而导致众多部署枉死的将军，为了表达歉意，将其赠送给亡者的家属。
40,红发女海盗的宝剑,item40.png,2,41,0,57000,美貌的红发女海盗所使用过的剑，锋利无比，也是件评价极高的宝物。
41,弥诺陶洛斯的大斧,item41.png,2,37,0,47200,大斧，传说中张喆牛头的怪物尔诺陶洛斯手持的强力武器。
